"","user_type","month","number_of_rides"
"1","casual","Jan",15916
"2","casual","Feb",9219
"3","casual","Mar",78867
"4","casual","Apr",126181
"5","casual","May",231178
"6","casual","Jun",327831
"7","casual","Jul",394464
"8","casual","Aug",365377
"9","casual","Sep",316157
"10","casual","Oct",211309
"11","casual","Nov",81852
"12","casual","Dec",52916
"13","member","Jan",72291
"14","member","Feb",36357
"15","member","Mar",134779
"16","member","Apr",184989
"17","member","May",246710
"18","member","Jun",321667
"19","member","Jul",340671
"20","member","Aug",350491
"21","member","Sep",346845
"22","member","Oct",311707
"23","member","Nov",202792
"24","member","Dec",143561
